,Year,Month,Departure station,Arrival station,Average travel time (min)
178,2018,11.0,BESANCON FRANCHE COMTE TGV,PARIS LYON,131.466666667
179,2018,10.0,PARIS MONTPARNASSE,LAVAL,90.8706467662
180,2018,10.0,BORDEAUX ST JEAN,TOURCOING,300.785714286
181,2018,10.0,LAUSANNE,PARIS LYON,222.698452381
182,2018,12.0,POITIERS,PARIS MONTPARNASSE,94.7068062827
183,2018,12.0,PARIS LYON,DIJON VILLE,96.3022222222
184,2018,12.0,NANTES,PARIS VAUGIRARD,144.0
185,2018,12.0,TOURCOING,MARSEILLE ST CHARLES,304.0
186,2018,12.0,MARSEILLE ST CHARLES,PARIS LYON,201.332613391
187,2019,1.0,PARIS NORD,DOUAI,69.2153846154
188,2019,1.0,STUTTGART,PARIS EST,191.000788288
189,2019,1.0,PARIS EST,STUTTGART,191.713333333
190,2019,1.0,LAUSANNE,PARIS LYON,224.554491726
191,2019,2.0,GRENOBLE,PARIS LYON,182.847715736
192,2019,2.0,BORDEAUX ST JEAN,PARIS MONTPARNASSE,142.282471627
193,2019,2.0,PARIS MONTPARNASSE,POITIERS,93.0622406639
194,2019,2.0,LE MANS,PARIS MONTPARNASSE,60.1846522782
195,2019,2.0,LILLE,LYON PART DIEU,191.151658768
196,2019,2.0,REIMS,PARIS EST,46.556149732600005
197,2019,2.0,POITIERS,PARIS MONTPARNASSE,94.3855421687
198,2019,3.0,RENNES,PARIS MONTPARNASSE,99.6522435897
199,2019,3.0,LYON PART DIEU,LILLE,190.96744186
200,2019,3.0,MARNE LA VALLEE,MARSEILLE ST CHARLES,216.77238806
201,2019,3.0,BESANCON FRANCHE COMTE TGV,PARIS LYON,132.207920792
202,2019,3.0,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,169.394736842
203,2019,3.0,PARIS LYON,MACON LOCHE,96.2025316456
204,2017,9.0,PARIS EST,STRASBOURG,116.234939759
205,2017,9.0,PARIS LYON,MACON LOCHE,97.4378109453
206,2017,9.0,PARIS LYON,MULHOUSE VILLE,166.758730159
207,2017,9.0,VANNES,PARIS MONTPARNASSE,156.027027027
208,2017,9.0,PARIS EST,FRANCFORT,128.124183007
209,2017,1.0,MACON LOCHE,PARIS LYON,98.9219512195
210,2017,1.0,PARIS EST,NANCY,95.181184669
211,2017,1.0,PARIS MONTPARNASSE,VANNES,197.253521127
212,2017,7.0,PERPIGNAN,PARIS LYON,306.080851064
213,2017,7.0,LAVAL,PARIS MONTPARNASSE,88.3125
214,2017,7.0,NANTES,PARIS MONTPARNASSE,130.284836066
215,2017,7.0,PARIS LYON,ZURICH,224.140939597
216,2015,3.0,LILLE,LYON PART DIEU,193.826086957
217,2015,3.0,MARSEILLE ST CHARLES,LYON PART DIEU,100.880692168
218,2015,2.0,PARIS LYON,BELLEGARDE (AIN),162.461883408
219,2015,2.0,BESANCON FRANCHE COMTE TGV,PARIS LYON,130.83902439
220,2015,2.0,PARIS LYON,NICE VILLE,337.622093023
221,2015,2.0,NANTES,STRASBOURG,327.166666667
222,2015,4.0,AIX EN PROVENCE TGV,PARIS LYON,183.788888889
223,2015,4.0,PARIS LYON,VALENCE ALIXAN TGV,130.575268817
224,2015,4.0,PARIS MONTPARNASSE,POITIERS,104.262425447
225,2015,4.0,PARIS MONTPARNASSE,RENNES,130.920289855
226,2015,4.0,RENNES,PARIS MONTPARNASSE,135.81754386
227,2015,4.0,PARIS MONTPARNASSE,ST PIERRE DES CORPS,62.2170022371
228,2015,4.0,PARIS NORD,ARRAS,53.0198675497
229,2015,4.0,ITALIE,PARIS LYON,255.26344086
230,2015,4.0,ZURICH,PARIS LYON,141.224137931
231,2015,8.0,NICE VILLE,PARIS LYON,338.644067797
232,2015,8.0,TOURS,PARIS MONTPARNASSE,78.0320855615
233,2015,11.0,PARIS LYON,ANNECY,222.292682927
234,2015,11.0,GRENOBLE,PARIS LYON,183.121794872
235,2015,11.0,PARIS LYON,LYON PART DIEU,120.711348684
236,2015,11.0,RENNES,PARIS MONTPARNASSE,133.43315508
237,2017,12.0,MARSEILLE ST CHARLES,PARIS LYON,200.590588235
238,2017,12.0,ANGERS SAINT LAUD,PARIS MONTPARNASSE,91.3535353535
239,2015,9.0,MONTPELLIER,PARIS LYON,206.02607362
240,2015,9.0,PARIS LYON,MULHOUSE VILLE,166.56578947399998
241,2015,9.0,TOULON,PARIS LYON,236.66017316
242,2015,9.0,ST MALO,PARIS MONTPARNASSE,192.760416667
243,2015,9.0,TOULOUSE MATABIAU,PARIS MONTPARNASSE,336.776785714
244,2015,9.0,PARIS NORD,LILLE,62.4546925566
245,2016,3.0,BESANCON FRANCHE COMTE TGV,PARIS LYON,130.42961165
246,2016,3.0,MONTPELLIER,PARIS LYON,210.982200647
247,2016,3.0,PARIS MONTPARNASSE,RENNES,130.699443414
248,2016,3.0,LYON PART DIEU,RENNES,262.303370787
249,2015,12.0,PARIS MONTPARNASSE,QUIMPER,265.83490566
250,2015,12.0,TOURS,PARIS MONTPARNASSE,74.8509615385
251,2015,12.0,LYON PART DIEU,MONTPELLIER,111.634877384
252,2016,5.0,PARIS LYON,MACON LOCHE,96.2066326531
253,2016,5.0,PARIS EST,STUTTGART,145.87962963
254,2016,5.0,PARIS LYON,LAUSANNE,177.947368421
255,2016,1.0,PARIS LYON,AVIGNON TGV,162.427184466
256,2016,1.0,PARIS LYON,NICE VILLE,337.655882353
257,2016,1.0,BORDEAUX ST JEAN,PARIS MONTPARNASSE,208.536379019
258,2016,1.0,LAUSANNE,PARIS LYON,180.627358491
259,2016,8.0,PARIS EST,REIMS,47.011627907
260,2016,8.0,PARIS EST,STRASBOURG,115.497938144
261,2016,8.0,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.2948717949
262,2016,8.0,TOULON,PARIS LYON,235.916913947
263,2016,8.0,LAVAL,PARIS MONTPARNASSE,104.513513514
264,2016,8.0,VANNES,PARIS MONTPARNASSE,204.649797571
265,2016,8.0,LILLE,LYON PART DIEU,191.140070922
266,2016,4.0,PARIS EST,METZ,85.3024054983
